,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
8,31,35,.470,19.0,99.0,98.7,-0.23,2012,Milwaukee Bucks
9,25,41,.379,25.0,90.9,95.7,-5.19,2012,Detroit Pistons
10,21,45,.318,29.0,93.0,100.2,-7.34,2012,Cleveland Cavaliers
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2012,Southeast Division
12,46,20,.697,—,98.5,92.5,5.72,2012,Miami Heat*
13,40,26,.606,6.0,96.6,93.2,2.67,2012,Atlanta Hawks*
14,37,29,.561,9.0,94.2,93.4,0.46,2012,Orlando Magic*
15,20,46,.303,26.0,93.6,98.4,-5.14,2012,Washington Wizards
16,7,59,.106,39.0,87.0,100.9,-13.96,2012,Charlotte Bobcats
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2012,Northwest Division
1,47,19,.712,—,103.1,96.9,6.44,2012,Oklahoma City Thunder*
2,38,28,.576,9.0,104.1,101.2,3.16,2012,Denver Nuggets*
3,36,30,.545,11.0,99.7,99.0,0.92,2012,Utah Jazz*
4,28,38,.424,19.0,97.2,97.8,-0.22,2012,Portland Trail Blazers
5,26,40,.394,21.0,97.9,100.1,-1.83,2012,Minnesota Timberwolves
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2012,Pacific Division
7,41,25,.621,—,97.3,95.9,1.96,2012,Los Angeles Lakers*
8,40,26,.606,1.0,97.5,95.0,2.82,2012,Los Angeles Clippers*
9,33,33,.500,8.0,98.4,98.6,0.29,2012,Phoenix Suns
10,23,43,.348,18.0,97.8,101.2,-2.79,2012,Golden State Warriors
11,22,44,.333,19.0,98.8,104.4,-4.95,2012,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2012,Southwest Division
13,50,16,.758,—,103.7,96.5,7.28,2012,San Antonio Spurs*
14,41,25,.621,9.0,95.0,93.0,2.43,2012,Memphis Grizzlies*
15,36,30,.545,14.0,95.8,94.8,1.78,2012,Dallas Mavericks*
16,34,32,.515,16.0,98.1,97.9,0.57,2012,Houston Rockets
17,21,45,.318,29.0,89.6,93.4,-3.11,2012,New Orleans Hornets
0,54,28,.659,—,100.0,95.7,3.73,2013,New York Knicks*
1,49,33,.598,5.0,96.9,95.1,1.25,2013,Brooklyn Nets*
2,41,40,.506,12.5,96.5,96.7,-0.62,2013,Boston Celtics*
3,34,48,.415,20.0,93.2,96.5,-3.51,2013,Philadelphia 76ers
4,34,48,.415,20.0,97.2,98.7,-1.96,2013,Toronto Raptors
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2013,Central Division
6,49,32,.605,—,94.7,90.7,3.34,2013,Indiana Pacers*
7,45,37,.549,4.5,93.2,92.9,-0.02,2013,Chicago Bulls*
8,38,44,.463,11.5,98.9,100.4,-1.83,2013,Milwaukee Bucks*
9,29,53,.354,20.5,94.9,98.8,-4.33,2013,Detroit Pistons
10,24,58,.293,25.5,96.5,101.2,-4.87,2013,Cleveland Cavaliers
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2013,Southeast Division
12,66,16,.805,—,102.9,95.0,7.03,2013,Miami Heat*
13,44,38,.537,22.0,98.0,97.5,-0.08,2013,Atlanta Hawks*
14,29,53,.354,37.0,93.2,95.8,-2.78,2013,Washington Wizards
15,21,61,.256,45.0,93.4,102.7,-9.29,2013,Charlotte Bobcats
16,20,62,.244,46.0,94.1,101.1,-7.12,2013,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2013,Northwest Division
1,60,22,.732,—,105.7,96.5,9.15,2013,Oklahoma City Thunder*
2,57,25,.695,3.0,106.1,101.1,5.37,2013,Denver Nuggets*
3,43,39,.524,17.0,98.0,98.1,0.30,2013,Utah Jazz
4,33,49,.402,27.0,97.5,100.7,-2.53,2013,Portland Trail Blazers
5,31,51,.378,29.0,95.7,98.1,-1.83,2013,Minnesota Timberwolves
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2013,Pacific Division
7,56,26,.683,—,101.1,94.6,6.43,2013,Los Angeles Clippers*
8,47,35,.573,9.0,101.2,100.3,1.32,2013,Golden State Warriors*
9,45,37,.549,11.0,102.2,101.0,1.48,2013,Los Angeles Lakers*
10,28,54,.341,28.0,100.2,105.1,-4.26,2013,Sacramento Kings
11,25,57,.305,31.0,95.2,101.6,-5.75,2013,Phoenix Suns
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2013,Southwest Division
13,58,24,.707,—,103.0,96.6,6.67,2013,San Antonio Spurs*
14,56,26,.683,2.0,93.4,89.3,4.32,2013,Memphis Grizzlies*
15,45,37,.549,13.0,106.0,102.5,3.69,2013,Houston Rockets*
16,41,41,.500,17.0,101.1,101.7,-0.24,2013,Dallas Mavericks
17,27,55,.329,31.0,94.1,97.9,-3.12,2013,New Orleans Hornets
0,48,34,.585,—,101.3,98.0,2.55,2014,Toronto Raptors*
1,44,38,.537,4.0,98.5,99.5,-1.58,2014,Brooklyn Nets*
2,37,45,.451,11.0,98.6,99.4,-1.40,2014,New York Knicks
3,25,57,.305,23.0,96.2,100.7,-4.97,2014,Boston Celtics
4,19,63,.232,29.0,99.5,109.9,-10.66,2014,Philadelphia 76ers
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2014,Central Division
6,56,26,.683,—,96.7,92.3,3.63,2014,Indiana Pacers*
7,48,34,.585,8.0,93.7,91.8,1.20,2014,Chicago Bulls*
8,33,49,.402,23.0,98.2,101.5,-3.86,2014,Cleveland Cavaliers
9,29,53,.354,27.0,101.0,104.7,-4.13,2014,Detroit Pistons
10,15,67,.183,41.0,95.5,103.7,-8.41,2014,Milwaukee Bucks
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2014,Southeast Division
12,54,28,.659,—,102.2,97.4,4.15,2014,Miami Heat*
13,44,38,.537,10.0,100.7,99.4,0.48,2014,Washington Wizards*
14,43,39,.524,11.0,96.9,97.1,-0.89,2014,Charlotte Bobcats*
15,38,44,.463,16.0,101.0,101.5,-0.88,2014,Atlanta Hawks*
16,23,59,.280,31.0,96.5,102.0,-5.88,2014,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2014,Northwest Division
1,59,23,.720,—,106.2,99.8,6.66,2014,Oklahoma City Thunder*
2,54,28,.659,5.0,106.7,102.8,4.44,2014,Portland Trail Blazers*
3,40,42,.488,19.0,106.9,104.3,3.10,2014,Minnesota Timberwolves
4,36,46,.439,23.0,104.4,106.5,-1.40,2014,Denver Nuggets
5,25,57,.305,34.0,95.0,102.2,-6.27,2014,Utah Jazz
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2014,Pacific Division
7,57,25,.695,—,107.9,101.0,7.27,2014,Los Angeles Clippers*
8,51,31,.622,6.0,104.3,99.5,5.15,2014,Golden State Warriors*
9,48,34,.585,9.0,105.2,102.6,3.02,2014,Phoenix Suns
10,28,54,.341,29.0,100.5,103.4,-2.08,2014,Sacramento Kings
11,27,55,.329,30.0,103.0,109.2,-5.33,2014,Los Angeles Lakers
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2014,Southwest Division
13,62,20,.756,—,105.4,97.6,8.00,2014,San Antonio Spurs*
14,54,28,.659,8.0,107.7,103.1,5.06,2014,Houston Rockets*
15,50,32,.610,12.0,96.1,94.6,2.18,2014,Memphis Grizzlies*
16,49,33,.598,13.0,104.8,102.4,2.91,2014,Dallas Mavericks*
17,34,48,.415,28.0,99.7,102.4,-1.98,2014,New Orleans Pelicans
0,49,33,.598,—,104.0,100.9,2.45,2015,Toronto Raptors*
1,40,42,.488,9.0,101.4,101.2,-0.40,2015,Boston Celtics*
2,38,44,.463,11.0,98.0,100.9,-3.13,2015,Brooklyn Nets*
3,18,64,.220,31.0,92.0,101.0,-9.04,2015,Philadelphia 76ers
4,17,65,.207,32.0,91.9,101.2,-9.50,2015,New York Knicks
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2015,Central Division
6,53,29,.646,—,103.1,98.7,4.08,2015,Cleveland Cavaliers*
7,50,32,.610,3.0,100.8,97.8,2.54,2015,Chicago Bulls*
8,41,41,.500,12.0,97.8,97.4,-0.09,2015,Milwaukee Bucks*
9,38,44,.463,15.0,97.3,97.0,-0.23,2015,Indiana Pacers
10,32,50,.390,21.0,98.5,99.5,-1.39,2015,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2015,Southeast Division
12,60,22,.732,—,102.5,97.1,4.75,2015,Atlanta Hawks*
13,46,36,.561,14.0,98.5,97.8,0.17,2015,Washington Wizards*
14,37,45,.451,23.0,94.7,97.3,-2.92,2015,Miami Heat
15,33,49,.402,27.0,94.2,97.3,-3.44,2015,Charlotte Hornets
16,25,57,.305,35.0,95.7,101.4,-5.87,2015,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2015,Northwest Division
1,51,31,.622,—,102.8,98.6,4.41,2015,Portland Trail Blazers*
2,45,37,.549,6.0,104.0,101.8,2.47,2015,Oklahoma City Thunder
3,38,44,.463,13.0,95.1,94.9,0.71,2015,Utah Jazz
4,30,52,.366,21.0,101.5,105.0,-3.07,2015,Denver Nuggets
5,16,66,.195,35.0,97.8,106.5,-8.00,2015,Minnesota Timberwolves
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2015,Pacific Division
7,67,15,.817,—,110.0,99.9,10.01,2015,Golden State Warriors*
8,56,26,.683,11.0,106.7,100.1,6.80,2015,Los Angeles Clippers*
9,39,43,.476,28.0,102.4,103.3,-0.38,2015,Phoenix Suns
10,29,53,.354,38.0,101.3,105.0,-3.07,2015,Sacramento Kings
11,21,61,.256,46.0,98.5,105.3,-6.17,2015,Los Angeles Lakers
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2015,Southwest Division
13,56,26,.683,—,103.9,100.5,3.82,2015,Houston Rockets*
14,55,27,.671,1.0,98.3,95.1,3.62,2015,Memphis Grizzlies*
15,55,27,.671,1.0,103.2,97.0,6.34,2015,San Antonio Spurs*
16,50,32,.610,6.0,105.2,102.3,3.36,2015,Dallas Mavericks*
17,45,37,.549,11.0,99.4,98.6,1.13,2015,New Orleans Pelicans*
0,56,26,.683,—,102.7,98.2,4.08,2016,Toronto Raptors*
1,48,34,.585,8.0,105.7,102.5,2.84,2016,Boston Celtics*
2,32,50,.390,24.0,98.4,101.1,-2.74,2016,New York Knicks
3,21,61,.256,35.0,98.6,106.0,-7.12,2016,Brooklyn Nets
4,10,72,.122,46.0,97.4,107.6,-9.92,2016,Philadelphia 76ers
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2016,Central Division
6,57,25,.695,—,104.3,98.3,5.45,2016,Cleveland Cavaliers*
7,45,37,.549,12.0,102.2,100.5,1.62,2016,Indiana Pacers*
8,44,38,.537,13.0,102.0,101.4,0.43,2016,Detroit Pistons*
9,42,40,.512,15.0,101.6,103.1,-1.46,2016,Chicago Bulls
10,33,49,.402,24.0,99.0,103.2,-3.98,2016,Milwaukee Bucks
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2016,Southeast Division
12,48,34,.585,—,100.0,98.4,1.50,2016,Miami Heat*
13,48,34,.585,—,102.8,99.2,3.49,2016,Atlanta Hawks*
14,48,34,.585,—,103.4,100.7,2.36,2016,Charlotte Hornets*
15,41,41,.500,7.0,104.1,104.6,-0.50,2016,Washington Wizards
16,35,47,.427,13.0,102.1,103.7,-1.68,2016,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2016,Northwest Division
1,55,27,.671,—,110.2,102.9,7.09,2016,Oklahoma City Thunder*
2,44,38,.537,11.0,105.1,104.3,0.98,2016,Portland Trail Blazers*
3,40,42,.488,15.0,97.7,95.9,1.84,2016,Utah Jazz
4,33,49,.402,22.0,101.9,105.0,-2.81,2016,Denver Nuggets
5,29,53,.354,26.0,102.4,106.0,-3.38,2016,Minnesota Timberwolves
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2016,Pacific Division
7,73,9,.890,—,114.9,104.1,10.38,2016,Golden State Warriors*
8,53,29,.646,20.0,104.5,100.2,4.13,2016,Los Angeles Clippers*
9,33,49,.402,40.0,106.6,109.1,-2.32,2016,Sacramento Kings
10,23,59,.280,50.0,100.9,107.5,-6.32,2016,Phoenix Suns
11,17,65,.207,56.0,97.3,106.9,-8.92,2016,Los Angeles Lakers
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2016,Southwest Division
13,67,15,.817,—,103.5,92.9,10.28,2016,San Antonio Spurs*
14,42,40,.512,25.0,102.3,102.6,-0.02,2016,Dallas Mavericks*
15,42,40,.512,25.0,99.1,101.3,-2.14,2016,Memphis Grizzlies*
16,41,41,.500,26.0,106.5,106.4,0.34,2016,Houston Rockets*
17,30,52,.366,37.0,102.7,106.5,-3.56,2016,New Orleans Pelicans
0,53,29,.646,—,108.0,105.4,2.25,2017,Boston Celtics*
1,51,31,.622,2.0,106.9,102.6,3.65,2017,Toronto Raptors*
2,31,51,.378,22.0,104.3,108.0,-3.87,2017,New York Knicks
3,28,54,.341,25.0,102.4,108.1,-5.83,2017,Philadelphia 76ers
4,20,62,.244,33.0,105.8,112.5,-6.74,2017,Brooklyn Nets
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2017,Central Division
6,51,31,.622,—,110.3,107.2,2.87,2017,Cleveland Cavaliers*
7,42,40,.512,9.0,103.6,103.8,-0.45,2017,Milwaukee Bucks*
8,42,40,.512,9.0,105.1,105.3,-0.64,2017,Indiana Pacers*
9,41,41,.500,10.0,102.9,102.4,0.03,2017,Chicago Bulls*
10,37,45,.451,14.0,101.3,102.5,-1.29,2017,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2017,Southeast Division
12,49,33,.598,—,109.2,107.4,1.36,2017,Washington Wizards*
13,43,39,.524,6.0,103.2,104.0,-1.23,2017,Atlanta Hawks*
14,41,41,.500,8.0,103.2,102.1,0.77,2017,Miami Heat
15,36,46,.439,13.0,104.9,104.7,-0.07,2017,Charlotte Hornets
16,29,53,.354,20.0,101.1,107.6,-6.61,2017,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2017,Northwest Division
1,51,31,.622,—,100.7,96.8,4.00,2017,Utah Jazz*
2,47,35,.573,4.0,106.6,105.8,1.14,2017,Oklahoma City Thunder*
3,41,41,.500,10.0,107.9,108.5,-0.23,2017,Portland Trail Blazers*
4,40,42,.488,11.0,111.7,111.2,0.70,2017,Denver Nuggets
5,31,51,.378,20.0,105.6,106.7,-0.64,2017,Minnesota Timberwolves
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2017,Pacific Division
7,67,15,.817,—,115.9,104.3,11.35,2017,Golden State Warriors*
8,51,31,.622,16.0,108.7,104.4,4.42,2017,Los Angeles Clippers*
9,32,50,.390,35.0,102.8,106.7,-3.29,2017,Sacramento Kings
10,26,56,.317,41.0,104.6,111.5,-6.29,2017,Los Angeles Lakers
11,24,58,.293,43.0,107.7,113.3,-5.14,2017,Phoenix Suns
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2017,Southwest Division
13,61,21,.744,—,105.3,98.1,7.13,2017,San Antonio Spurs*
14,55,27,.671,6.0,115.3,109.6,5.84,2017,Houston Rockets*
15,43,39,.524,18.0,100.5,100.0,0.96,2017,Memphis Grizzlies*
16,34,48,.415,27.0,104.3,106.4,-1.69,2017,New Orleans Pelicans
17,33,49,.402,28.0,97.9,100.8,-2.53,2017,Dallas Mavericks
0,59,23,.720,—,111.7,103.9,7.29,2018,Toronto Raptors*
1,55,27,.671,4.0,104.0,100.4,3.23,2018,Boston Celtics*
2,52,30,.634,7.0,109.8,105.3,4.30,2018,Philadelphia 76ers*
3,29,53,.354,30.0,104.5,108.0,-3.53,2018,New York Knicks
4,28,54,.341,31.0,106.6,110.3,-3.67,2018,Brooklyn Nets
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2018,Central Division
6,50,32,.610,—,110.9,109.9,0.59,2018,Cleveland Cavaliers*
7,48,34,.585,2.0,105.6,104.2,1.18,2018,Indiana Pacers*
8,44,38,.537,6.0,106.5,106.8,-0.45,2018,Milwaukee Bucks*
9,39,43,.476,11.0,103.8,103.9,-0.26,2018,Detroit Pistons
10,27,55,.329,23.0,102.9,110.0,-6.84,2018,Chicago Bulls
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2018,Southeast Division
12,44,38,.537,—,103.4,102.9,0.15,2018,Miami Heat*
13,43,39,.524,1.0,106.6,106.0,0.53,2018,Washington Wizards*
14,36,46,.439,8.0,108.2,108.0,0.07,2018,Charlotte Hornets
15,25,57,.305,19.0,103.4,108.2,-4.92,2018,Orlando Magic
16,24,58,.293,20.0,103.4,108.8,-5.30,2018,Atlanta Hawks
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2018,Northwest Division
1,49,33,.598,—,105.6,103.0,2.60,2018,Portland Trail Blazers*
2,48,34,.585,1.0,107.9,104.4,3.42,2018,Oklahoma City Thunder*
3,48,34,.585,1.0,104.1,99.8,4.47,2018,Utah Jazz*
4,47,35,.573,2.0,109.5,107.3,2.35,2018,Minnesota Timberwolves*
5,46,36,.561,3.0,110.0,108.5,1.57,2018,Denver Nuggets
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2018,Pacific Division
7,58,24,.707,—,113.5,107.5,5.79,2018,Golden State Warriors*
8,42,40,.512,16.0,109.0,109.0,0.15,2018,Los Angeles Clippers
9,35,47,.427,23.0,108.1,109.6,-1.44,2018,Los Angeles Lakers
10,27,55,.329,31.0,98.8,105.8,-6.60,2018,Sacramento Kings
11,21,61,.256,37.0,103.9,113.3,-8.80,2018,Phoenix Suns
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2018,Southwest Division
13,65,17,.793,—,112.4,103.9,8.21,2018,Houston Rockets*
14,48,34,.585,17.0,111.7,110.4,1.48,2018,New Orleans Pelicans*
15,47,35,.573,18.0,102.7,99.8,2.89,2018,San Antonio Spurs*
16,24,58,.293,41.0,102.3,105.4,-2.70,2018,Dallas Mavericks
17,22,60,.268,43.0,99.3,105.5,-5.81,2018,Memphis Grizzlies
0,58,24,.707,—,114.4,108.4,5.49,2019,Toronto Raptors*
1,51,31,.622,7.0,115.2,112.5,2.25,2019,Philadelphia 76ers*
2,49,33,.598,9.0,112.4,108.0,3.90,2019,Boston Celtics*
3,42,40,.512,16.0,112.2,112.3,-0.40,2019,Brooklyn Nets*
4,17,65,.207,41.0,104.6,113.8,-8.93,2019,New York Knicks
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2019,Central Division
6,60,22,.732,—,118.1,109.3,8.04,2019,Milwaukee Bucks*
7,48,34,.585,12.0,108.0,104.7,2.76,2019,Indiana Pacers*
8,41,41,.500,19.0,107.0,107.3,-0.56,2019,Detroit Pistons*
9,22,60,.268,38.0,104.9,113.4,-8.32,2019,Chicago Bulls
10,19,63,.232,41.0,104.5,114.1,-9.39,2019,Cleveland Cavaliers
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2019,Southeast Division
12,42,40,.512,—,107.3,106.6,0.28,2019,Orlando Magic*
13,39,43,.476,3.0,110.7,111.8,-1.32,2019,Charlotte Hornets
14,39,43,.476,3.0,105.7,105.9,-0.45,2019,Miami Heat
15,32,50,.390,10.0,114.0,116.9,-3.30,2019,Washington Wizards
16,29,53,.354,13.0,113.3,119.4,-6.06,2019,Atlanta Hawks
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2019,Northwest Division
1,54,28,.659,—,110.7,106.7,4.19,2019,Denver Nuggets*
2,53,29,.646,1.0,114.7,110.5,4.43,2019,Portland Trail Blazers*
3,50,32,.610,4.0,111.7,106.5,5.28,2019,Utah Jazz*
4,49,33,.598,5.0,114.5,111.1,3.56,2019,Oklahoma City Thunder*
5,36,46,.439,18.0,112.5,114.0,-1.02,2019,Minnesota Timberwolves
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2019,Pacific Division
7,57,25,.695,—,117.7,111.2,6.42,2019,Golden State Warriors*
8,48,34,.585,9.0,115.1,114.3,1.09,2019,Los Angeles Clippers*
9,39,43,.476,18.0,114.2,115.3,-0.81,2019,Sacramento Kings
10,37,45,.451,20.0,111.8,113.5,-1.33,2019,Los Angeles Lakers
11,19,63,.232,38.0,107.5,116.8,-8.61,2019,Phoenix Suns
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2019,Southwest Division
13,53,29,.646,—,113.9,109.1,4.96,2019,Houston Rockets*
14,48,34,.585,5.0,111.7,110.0,1.80,2019,San Antonio Spurs*
15,33,49,.402,20.0,103.5,106.1,-2.08,2019,Memphis Grizzlies
16,33,49,.402,20.0,115.4,116.8,-1.10,2019,New Orleans Pelicans
17,33,49,.402,20.0,108.9,110.1,-0.87,2019,Dallas Mavericks
0,53,19,.736,—,112.8,106.5,5.97,2020,Toronto Raptors*
1,48,24,.667,5.0,113.7,107.3,5.83,2020,Boston Celtics*
2,43,30,.589,10.5,110.7,108.4,2.25,2020,Philadelphia 76ers*
3,35,37,.486,18.0,111.8,112.3,-1.01,2020,Brooklyn Nets*
4,21,45,.318,29.0,105.8,112.3,-6.72,2020,New York Knicks
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2020,Central Division
6,56,17,.767,—,118.7,108.6,9.41,2020,Milwaukee Bucks*
7,45,28,.616,11.0,109.4,107.5,1.63,2020,Indiana Pacers*
8,22,43,.338,30.0,106.8,109.9,-4.00,2020,Chicago Bulls
9,20,46,.303,32.5,107.2,110.8,-4.38,2020,Detroit Pistons
10,19,46,.292,33.0,106.9,114.8,-7.77,2020,Cleveland Cavaliers
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2020,Southeast Division
12,44,29,.603,—,112.0,109.1,2.59,2020,Miami Heat*
13,33,40,.452,11.0,107.3,108.3,-0.93,2020,Orlando Magic*
14,23,42,.354,17.0,102.9,109.6,-7.03,2020,Charlotte Hornets
15,25,47,.347,18.5,114.4,119.1,-5.24,2020,Washington Wizards
16,20,47,.299,21.0,111.8,119.7,-7.71,2020,Atlanta Hawks
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2020,Northwest Division
1,46,27,.630,—,111.3,109.2,2.35,2020,Denver Nuggets*
2,44,28,.611,1.5,110.4,108.4,2.33,2020,Oklahoma City Thunder*
3,44,28,.611,1.5,111.3,108.8,2.52,2020,Utah Jazz*
4,35,39,.473,11.5,115.0,116.1,-0.61,2020,Portland Trail Blazers*
5,19,45,.297,22.5,113.3,117.5,-4.02,2020,Minnesota Timberwolves
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2020,Pacific Division
7,52,19,.732,—,113.4,107.6,6.28,2020,Los Angeles Lakers*
8,49,23,.681,3.5,116.3,109.9,6.66,2020,Los Angeles Clippers*
9,34,39,.466,19.0,113.6,113.4,0.56,2020,Phoenix Suns
10,31,41,.431,21.5,110.1,112.1,-1.59,2020,Sacramento Kings
11,15,50,.231,34.0,106.3,115.0,-8.12,2020,Golden State Warriors
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2020,Southwest Division
13,44,28,.611,—,117.8,114.8,3.13,2020,Houston Rockets*
14,43,32,.573,2.5,117.0,112.1,4.87,2020,Dallas Mavericks*
15,34,39,.466,10.5,112.6,113.7,-0.91,2020,Memphis Grizzlies
16,32,39,.451,11.5,114.1,115.2,-0.65,2020,San Antonio Spurs
17,30,42,.417,14.0,115.8,117.1,-0.55,2020,New Orleans Pelicans
0,49,23,.681,—,113.6,108.1,5.28,2021,Philadelphia 76ers*
1,48,24,.667,1.0,118.6,114.1,4.24,2021,Brooklyn Nets*
2,41,31,.569,8.0,107.0,104.7,2.13,2021,New York Knicks*
3,36,36,.500,13.0,112.6,111.2,1.32,2021,Boston Celtics*
4,27,45,.375,22.0,111.3,111.7,-0.54,2021,Toronto Raptors
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2021,Central Division
6,46,26,.639,—,120.1,114.2,5.57,2021,Milwaukee Bucks*
7,34,38,.472,12.0,115.3,115.3,-0.13,2021,Indiana Pacers
8,31,41,.431,15.0,110.7,111.6,-0.94,2021,Chicago Bulls
9,22,50,.306,24.0,103.8,112.3,-8.19,2021,Cleveland Cavaliers
10,20,52,.278,26.0,106.6,111.1,-4.38,2021,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2021,Southeast Division
12,41,31,.569,—,113.7,111.4,2.14,2021,Atlanta Hawks*
13,40,32,.556,1.0,108.1,108.0,-0.06,2021,Miami Heat*
14,34,38,.472,7.0,116.6,118.5,-1.85,2021,Washington Wizards*
15,33,39,.458,8.0,109.5,111.4,-1.94,2021,Charlotte Hornets
16,21,51,.292,20.0,104.0,113.3,-9.02,2021,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2021,Northwest Division
1,52,20,.722,—,116.4,107.2,8.97,2021,Utah Jazz*
2,47,25,.653,5.0,115.1,110.1,4.82,2021,Denver Nuggets*
3,42,30,.583,10.0,116.1,114.3,1.81,2021,Portland Trail Blazers*
4,23,49,.319,29.0,112.1,117.7,-5.25,2021,Minnesota Timberwolves
5,22,50,.306,30.0,105.0,115.6,-10.13,2021,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2021,Pacific Division
7,51,21,.708,—,115.3,109.5,5.67,2021,Phoenix Suns*
8,47,25,.653,4.0,114.0,107.8,6.02,2021,Los Angeles Clippers*
9,42,30,.583,9.0,109.5,106.8,2.77,2021,Los Angeles Lakers*
10,39,33,.542,12.0,113.7,112.7,1.10,2021,Golden State Warriors
11,31,41,.431,20.0,113.7,117.4,-3.45,2021,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2021,Southwest Division
13,42,30,.583,—,112.4,110.2,2.26,2021,Dallas Mavericks*
14,38,34,.528,4.0,113.3,112.3,1.07,2021,Memphis Grizzlies*
